ID,Job Title,Salary,Experience,Company,Details,Address,Employees,Date,Link
Job ID: 433144,No Selling/Pure Customer Service/26k Month - Apply Now!!!,"PHP 16,000 - 26,000 per month",No Experience,Work Avenue and Business Solutions Inc.,"At least HS Graduate/ Senior High School Grad(with diploma/Certificate)
Must have good English communication skills
Willing to work on holidays, weekends, shifting schedules, and extended working hours
Main Job Tasks and Responsibilities:
Handle customer complaints, inquiries, provide appropriate solutions and alternatives within the time limits
Build sustainable relationships and trust with customer accounts through open and interactive communication
Provide accurate, valid and complete information
Keep records of customer interactions, process customer accounts and file documents
Follow communication procedures, guidelines and policies
Night Differential
13th Month Pay
Monthly Incentives
Bonuses for Sales Account and Perfect Attendance Bonuses
Opportunities for Promotion
HMO
2 sets of resume
1 valid ID
Vaccination card
Pen","Unit 3 G/F Ranulfo Bldg. 206 F. Ramos St., Cogon Ramos, Cebu City, Cebu",11-50 employees,"Posted On: July 31, 2023",https://www.mynimo.com/jobs/view/433144/cebu/no-selling-pure-customer-service-26k-month---apply-now?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 433657,Easy Account for CSR - SHS Grad/HS GradOldCurriculum are Welcome! 25kMonth,N/A,No Experience,Work Avenue and Business Solutions Inc.,"At least HS Graduate/ Senior High School Grad(with diploma/Certificate)
Must have good English communication skills
Willing to work on holidays, weekends, shifting schedules, and extended working hours
Main Job Tasks and Responsibilities:
Handle customer complaints, inquiries, provide appropriate solutions and alternatives within the time limits
Build sustainable relationships and trust with customer accounts through open and interactive communication
Provide accurate, valid and complete information
Keep records of customer interactions, process customer accounts and file documents
Follow communication procedures, guidelines and policies
Night Differential
13th Month Pay
Monthly Incentives
Bonuses for Sales Account and Perfect Attendance Bonuses
Opportunities for Promotion
HMO
2 sets of resume
1 valid ID
Vaccination card
Pen","Unit 3 G/F Ranulfo Bldg. 206 F. Ramos St., Cogon Ramos, Cebu City, Cebu",11-50 employees,"Posted On: July 31, 2023",https://www.mynimo.com/jobs/view/433657/cebu/easy-account-for-csr---shs-grad-hs-gradoldcurriculum-are-welcome-25kmonth?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 433459,Voice and NON- Voice (limited slots) CSR Agent - ONE DAY FAST Process*,"PHP 15,000 - 26,000 per month",No Experience,Orbit Teleservices - Cebu City,"2k Non-Taxable Allowance
20% Night Differential
13th Month Pay
Monthly Incentives
Bonuses for Sales Account and Perfect Attendance Bonuses
Opportunities for Promotion
HMO through Maxicare
Freshers and Laterals, 4 dependents can be enrolled in our HMO after 6 months
Educational Reimbursement of 20,000 PHP Tuition Subsidy (For Travel Acct only)
At least Highschool Graduate
Average to excellent English communication skills
Amenable to work in Cebu City
Willing to attend an office interview
Must currently be in Cebu City
Create substitute scheduling necessary arrangements in case modifications occur just before or in the course of the main trip
Generate bookings for intended journeys, like resort hotels and airlines
Follow up with customers regarding holiday options and help make modifications as needed","Looc, Mandaue City, Cebu",51-200 employees,"Posted On: July 30, 2023",https://www.mynimo.com/jobs/view/433459/cebu/voice-and-non--voice-limited-slots-csr-agent---one-day-fast-process?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 433129,Quality Assurance Manager (QA),N/A,Managerial / Supervisory,"Guesty, Inc.","Competitive, above-industry salary package
Government Mandated benefits
HMO Package with medical and dental coverage
Paid sick and vacation leaves
Work-Life Balance
Career Growth Opportunities
Employee Engagement Activities
Develop and implement quality assurance policies and procedures to ensure that our customer support interactions meet or exceed customer expectations and comply with all relevant regulatory requirements
Manage a team of quality control specialists, providing guidance, coaching, and performance feedback
Collaborate closely with other departments, including training, operations, and product management, to identify quality issues and implement solutions
Conduct regular audits of all quality control procedures to ensure compliance and identify areas for improvement
Develop and maintain key quality metrics and reports to track performance and identify trends
Stay up-to-date with the latest industry trends and best practices in quality assurance and incorporate them into our processes as appropriate
Bachelor's degree in a relevant field such as business administration, quality management, or a related discipline
Minimum of 5 years of experience in a quality assurance role, preferably in a customer support environment
Strong knowledge of quality management principles and practices
Excellent analytical and problem-solving skills, with a keen eye for detail
Strong communication and interpersonal skills, with the ability to collaborate effectively with internal and external stakeholders at all levels of the organization
Proven track record of managing a team and driving performance improvements
Ability to work in a fast-paced, dynamic environment and manage multiple projects simultaneously
Strong computer skills, including proficiency in Microsoft Office and other relevant software applications","KMC Solutions, 16F Skyrise 4B, W Geonzon St, Cebu IT Park, Lahug, Cebu City, Cebu",11-50 employees,"Posted On: July 30, 2023",https://www.mynimo.com/jobs/view/433129/cebu/quality-assurance-manager-qa?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 425765,CebuRAMP - 200 Call Center Agents - One Day Onsite Process,N/A,No Experience,Orbit Teleservices - Cebu City,"3 Dependents can be enrolled in our HMO after 3 months.
13th Month Pay.
Departmental Awards
Maternity/Paternity Leave
Paid leaves 1SL/1VL per month can accumulate if unused.
Attendance Bonus
Good to excellent English communication skills.
Good listening skills.
Provide clear and concise instructions to our customers.
Advance troubleshooting skills.
At least high school diploma
Basic computer knowledge","Alang-alang, Mandaue City, Cebu",51-200 employees,"Posted On: July 29, 2023",https://www.mynimo.com/jobs/view/425765/cebu/ceburamp---200-call-center-agents---one-day-onsite-process?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 433438,Travel Customer Service Specialist,N/A,No Experience,Orbit Teleservices - Cebu City,"Customer Service Representative
Technical Support Representative
Sales Representative
Travel Associate
Healthcare Specialist
Financial Associate
Telemarketer
Identify and assess customers' needs, inquiries, or concerns and provide accurate and appropriate solutions or information.
Maintain comprehensive knowledge of company products, services, policies, and procedures to effectively address customer inquiries.
Utilize CRM software and other relevant systems to document and track customer interactions, ensuring accurate and detailed records.
Escalate unresolved issues or complex inquiries to the appropriate department or supervisor for further investigation and resolution.
Strive to achieve and exceed individual and team performance targets, such as call handling time, customer satisfaction ratings, and first-call resolution.
Maintain a high level of professionalism, empathy, and patience when dealing with challenging or irate customers.
Amenable to working onsite(office-based)
Filipino Citizen, or hold relevant residence status
High school diploma or equivalent; further education or relevant certifications will be a plus.
Excellent verbal and written communication skills. Preferred language: English.
Strong active listening skills, patience, and empathy when dealing with customers.
Proven customer service experience, preferably in a call center or customer support environment.","Sacsac, Consolacion, Cebu",51-200 employees,"Posted On: July 29, 2023",https://www.mynimo.com/jobs/view/433438/cebu/travel-customer-service-specialist?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 432832,200 Pioneer Dayshift Account Call Center Agents,N/A,1 Year or Less,Orbit Teleservices - Cebu City,"Customer Service Representative
Technical Support Representative
Sales Representative
Travel Associate
Healthcare Specialist
Financial Associate
Telemarketer
Identify and assess customers' needs, inquiries, or concerns and provide accurate and appropriate solutions or information.
Maintain comprehensive knowledge of company products, services, policies, and procedures to effectively address customer inquiries.
Utilize CRM software and other relevant systems to document and track customer interactions, ensuring accurate and detailed records.
Escalate unresolved issues or complex inquiries to the appropriate department or supervisor for further investigation and resolution.
Strive to achieve and exceed individual and team performance targets, such as call handling time, customer satisfaction ratings, and first-call resolution.
Maintain a high level of professionalism, empathy, and patience when dealing with challenging or irate customers.
Amenable to working onsite(office-based)
Filipino Citizen, or hold relevant residence status
High school diploma or equivalent; further education or relevant certifications will be a plus.
Excellent verbal and written communication skills. Preferred language: English.
Strong active listening skills, patience, and empathy when dealing with customers.
Proven customer service experience, preferably in a call center or customer support environment.","Basak, San Fernando, Cebu",51-200 employees,"Posted On: July 29, 2023",https://www.mynimo.com/jobs/view/432832/cebu/200-pioneer-dayshift-account-call-center-agents?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 433624,Social Media Specialist - Dayshift CSR (J),N/A,No Experience,Orbit Teleservices - Cebu City,"Customer Service Representative
Technical Support Representative
Sales Representative
Travel Associate
Healthcare Specialist
Financial Associate
Telemarketer
Build and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identification
Generate, edit, publish and share daily content (original text, images, video or HTML) that builds meaningful connections and encourages community members to take action
Set up and optimize company pages within each platform to increase the visibility of company’s social content
Moderate all user-generated content in line with the moderation policy for each community
Create editorial calendars and syndication schedules
Continuously improve by capturing and analyzing the appropriate social data/metrics, insights and best practices, and then acting on the information
Collaborate with other departments (customer relations, sales etc) to manage reputation, identify key players and coordinate actions
Amenable to working onsite(office-based)
Filipino Citizen, or hold relevant residence status
High school diploma or equivalent; further education or relevant certifications will be a plus.
Excellent verbal and written communication skills. Preferred language: English.
Strong active listening skills, patience, and empathy when dealing with customers.
Proven customer service experience, preferably in a call center or customer support environment.","Sangat, San Fernando, Cebu",51-200 employees,"Posted On: July 29, 2023",https://www.mynimo.com/jobs/view/433624/cebu/social-media-specialist---dayshift-csr-j?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 414956,"Customer Service Representatives (Massive Hiring, Basic Account)",N/A,No Experience,Quess Corporation,"Candidate must possess at least a Bachelor's/College Degree , any field;
Senior High School Graduates are welcome to apply!
With or without call center experience;
This account requires to WORK ON-SITE
Amenable to work in any shifting schedules
Average to excellent communication skills
Can start ASAP!!!
Maintaining a positive, empathetic, and professional attitude toward customers at all times.
Responding promptly to customer inquiries.
Acknowledging and resolving customer complaints.","Cebu Business Park, Luz, Cebu City, Cebu","10,000+ employees","Posted On: July 29, 2023",https://www.mynimo.com/jobs/view/414956/cebu/customer-service-representatives-massive-hiring--basic-account?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
Job ID: 433606,Hotel Reservation Agent | Working experience required,"PHP 15,000 - 26,000 per month",No Experience,Orbit Teleservices - Cebu City,"Customer Service Representative
Technical Support Representative
Sales Representative
Travel Associate
Healthcare Specialist
Financial Associate
Telemarketer
Identify and assess customers' needs, inquiries, or concerns and provide accurate and appropriate solutions or information.
Maintain comprehensive knowledge of company products, services, policies, and procedures to effectively address customer inquiries.
Utilize CRM software and other relevant systems to document and track customer interactions, ensuring accurate and detailed records.
Escalate unresolved issues or complex inquiries to the appropriate department or supervisor for further investigation and resolution.
Strive to achieve and exceed individual and team performance targets, such as call handling time, customer satisfaction ratings, and first-call resolution.
Maintain a high level of professionalism, empathy, and patience when dealing with challenging or irate customers.
Amenable to working onsite(office-based)
Filipino Citizen, or hold relevant residence status
High school diploma or equivalent; further education or relevant certifications will be a plus.
Excellent verbal and written communication skills. Preferred language: English.
Strong active listening skills, patience, and empathy when dealing with customers.
Proven customer service experience, preferably in a call center or customer support environment.","Mactan, Lapu-Lapu City, Cebu",51-200 employees,"Posted On: July 29, 2023",https://www.mynimo.com/jobs/view/433606/cebu/hotel-reservation-agent--working-experience-required?location=cebu&is_overseas=false&category=Call%20Center%20%2F%20BPO&category_name=call-center-bpo&level&tab=cebu
