ID,Job Title,Salary,Experience,Company,Details,Address,Employees,Date,Link
Job ID: 433890,Accountant,N/A,2 to 4 Years,IQEQ Philippines,"Bachelor's Degree in Accountancy.
Successful completion of at least two ACCA or ACA exams
Desire to complete either the ACCA or CIMA course towards full professional qualification
Minimum of two years’ experience working in a professional office environment either within an accounts department or preferably within an accounting service provider
Experience in processing and providing financial information for review
Intermediate Excel skills
Must be willing to attend onsite training and onboarding for the first two months of employment.
This position is only open to Philippine citizens.","Cebu IT Park, Capitol Site, Cebu City, Cebu",1001-5000 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433890/cebu/accountant?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433889,Junior Accountant,N/A,No Experience,IQEQ Philippines,"Responsible for processing financial information to trial balance and other ad-hoc financial information for PE Fund Structures.
Responsible for preparation of administration tasks in relation to PE Fund Structures.
Ensuring that adequate training has been completed and support provided in order to complete the role and be proactive in defining areas needing attention or support.
Knowledge of designated clients including a basic understanding, of the client structures, key points of the LPA, Fee Agreements, and SLAs.
Knowledge of Client deliverables and early escalation of issues to the cell’s Accountant.
Minimize risk to IQ EQ Philippines by following procedures and checklists and complying with SSAE16 requirements.
Be proactive in identifying development and training requirements.
Strong academic track record with University Degree in Accountancy (Fresh Graduate Welcome to Apply)
Desire to complete Certified Public Accountant qualification
Experience in preparation of working paper files and Financial Statements with disclosures and experience in providing financial information for review
Intermediate Word and Excel skills
Strong organizational, prioritization, and interpersonal skills
Strong ownership of tasks, can-do attitude, ability to cope with tight deadlines, and working under pressure
Strong team ethic and comfortable communicating with individuals in a professional manner
Strong Excel skills
Basic training in accounting principals
Experience working in a Financial Services office environment
Must be willing to attend onsite training and onboarding for the first three months of employment.
This position is only open to Philippine citizens.","Cebu IT Park, Capitol Site, Cebu City, Cebu",1001-5000 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433889/cebu/junior-accountant?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 426224,Warehouse Custodian,N/A,2 to 4 Years,CAE Development and Property Ventures Corporation,"Male/Female
Graduate of BS Accountancy
Computer Literate
With experience in Warehousing Management, a plus factor
With good interpersonal skills, keen details and hard working
Independent and works well under pressure
Ready for immediate employment","Sitio San Miguel, Apas, Cebu City, Cebu",2-10 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/426224/cebu/warehouse-custodian?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 432094,Accounting Staff,N/A,No Experience,Microlinx Solution,"Female
College Level/College Graduate
Strong numeracy and analytical skills.
Good problem-solving and time management skills.
Highly organized and detail-oriented.
6 months to 1 year experience in related field is preferred
Familiarity with bookkeeping and basic accounting procedures
Classify figures, postings of payables and other financial data
Maintain the inventory record of the items
Carries out administrative duties such as filing, typing, copying, binding, scanning etc.
Preparing journal entries and account reconciliations and assisting with monthly close processes.
Perform monthly balance sheet reconciliations.
Highly Trainable and capable to follow detailed instruction
Honest and can work with less supervision","Unit 2, 2F CTK Lucky Bldg., North Road, Tabok, Mandaue City, Cebu",11-50 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/432094/cebu/accounting-staff?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 431365,Credit and Collection Assistant,N/A,1 Year or Less,"International Elevator & Equipment, Inc.","Assists in the reconciliation of problematic/outstanding accounts, initiates and arranges meetings with clients as necessary.
Assists in the preparation and updating of the process flow of billings per project/client regularly.
Assists in the preparation & monitoring of billings/sales invoices of all departments and ensuring the completeness of billing attachments.
Assists in the preparation of reminder letters/ termination letters as necessary.
Follows-up collection of outstanding accounts receivable thru e-mails, phone calls and/or personal visit to clients.
Assists in the scheduling of collection of available checks thru assigned messenger/collector.
Assists in updating the schedule of outstanding accounts per area & records subsequent collections.
Assists in double checking and recording of cash/check collections to be deposited daily to the bank and assists in the preparation of Vismin Daily Collection Report.
Assists his Superior in conducting monthly collection meeting per department in Vismin Branch Office.
Assists in the preparation of Monthly Collection Forecast per department.
Performs other Credit and Collection-related tasks that may be assigned by the superior from time to time.
Graduate of B.S. Accountancy or Business Administration Major in Management Accounting/ Financial Management
Must have at least one (1) year experience
Must be computer literate and has a working knowledge on various PC based software.
Must be proficient in both written and oral communication.
Must possess a pleasant personality and of good moral character.","Unit 1103 11th Floor 1 Nito Tower, Archbishop Reyes Avenue, Lahug, Cebu City, Cebu",1001-5000 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/431365/cebu/credit-and-collection-assistant?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433614,Accounting / Bookkeeping Staff,N/A,2 to 4 Years,Miesto International Food Corporation,"Graduate in Bachelor of Science in Accountancy or any related
courses
With at least 2 years experience in bookkeeping/external reportorial requirements
Computer literate
Honest and hardworking
Can work with less supervision
Willing to render overtime work if needed","c/o Shemberg Marketing Compound J. P. Rizal, Basak, Mandaue City, Cebu",201-500 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433614/cebu/accounting---bookkeeping-staff?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433877,Accounting Assistant,N/A,No Experience,Mandaue Benison Commercial Corp.,"A graduate of Accountancy or any accounting or finance related course.
With or Without experience
Responsible, detail-oriented, and willing to be trained
Knowledgeable on MS Word and Excel
Fresh graduates are welcome to apply
Willing to work in Mandaue City","3 Zone Paliya, S.E. Jayme Street, Pakna-an, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433877/cebu/accounting-assistant?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433217,Accounts Payable Head,N/A,Managerial / Supervisory,Savers Depot,"Bachelor's Degree in Finance, Accounting, or relevant field.
In-depth knowledge of financial regulations and accounting processes.
With at least 2-3 years of relevant experience in accounts payable
Proficiency in Microsoft Excel, PowerPoint and Microsoft word
Excellent verbal and communication skills
Detail-oriented, professional attitude, and reliable
Willing to start ASAP","E.O. Perez St., North Reclamation Area, Subangdaku, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433217/cebu/accounts-payable-head?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433223,Finance Accounting Manager,N/A,Managerial / Supervisory,Savers Depot,"Graduate of Accountancy or Management Accounting/Finance.
Preferably with minimum of 3 years related experience.
With Strong background in Generally Accepted Accounting Principles.
Must have excellent computer skills.
Operate with high level of accuracy, meticulous and keen to details.
Has strong verbal and written communication skills.
Must have exceptional problem-solving skills.
Highly organized with strong analytical, leadership & interpersonal skills.
Willing to work extended hours.","E.O. Perez St., North Reclamation Area, Subangdaku, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433223/cebu/finance-accounting-manager?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
Job ID: 433222,Treasury Head,N/A,Managerial / Supervisory,Savers Depot,"Graduate of BS Accountancy/Management Accounting/Finance
At least 2 years experience in bank transactions.
Ability to monitor daily sales and daily cash position report
Has expertise in managing short and long term liquidity
Strong ability to problem solve
Proactive to escalate issue and drive change
The ability to prioritize and meet deadlines efficiently within fast-paced envionment
Exceptional attention to detail","E.O. Perez St., North Reclamation Area, Subangdaku, Mandaue City, Cebu",51-200 employees,"Posted On: August 2, 2023",https://www.mynimo.com/jobs/view/433222/cebu/treasury-head?location=cebu&is_overseas=false&category=Accounting%20%2F%20Finance&category_name=accounting-finance&level&tab=cebu
