ID,Job Title,Salary,Experience,Company,Details,Address,Employees,Date,Link
Job ID: 432395,IT Programmer,N/A,1 Year or Less,Fast Distribution Corporation,"Graduate of Bachelor of Science in Information Technology/Computer Science or equivalent.
Strong programming skills in ""Visual Basic or PowerBuilder"".
Must have at least 1-year experience in using Crystal Report.
Experience in MS SQL Server administration.
Experience in providing technical support is a plus.
Strong Problem Solving and Troubleshooting Skills.
Passion for technology, curious and has the desire to learn.
Fresh graduates are welcome to apply.","3rd Floor FAST Bldg. M.C. Briones St., Maguikay, Mandaue City, Cebu",501-1000 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/432395/cebu/it-programmer?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 431718,Software Developer Head,N/A,Managerial / Supervisory,GoodApps Inc.,"Team Management: Leading and managing a team of software developers, including recruitment, training, performance evaluation, and career development.
Technical Guidance: Providing expertise and guidance to the development team, assisting with complex coding challenges, and ensuring adherence to best practices and coding standards.
Project Planning and Execution: Collaborating with stakeholders to define project requirements, setting realistic goals and timelines, and managing resources effectively to ensure timely and successful project delivery.
Process Improvement: Identifying areas for improvement in the development process, implementing best practices, and adopting new technologies or methodologies to enhance efficiency and quality.
Collaboration and Communication: Facilitating effective communication and collaboration between the development team and other departments, such as product management, quality assurance, and operations.
Risk Management: Identifying potential risks or obstacles in the development process and implementing strategies to mitigate them, ensuring project success and minimizing disruptions.
Stakeholder Management: Engaging with internal and external stakeholders to understand their requirements, address concerns, and foster positive relationships.
Technology Evaluation: Staying updated with emerging technologies, industry trends, and software development practices, and evaluating their potential impact on the organization's development strategy.
Technical Skills: Advanced technical skills and knowledge in programming languages, software development methodologies, and tools relevant to the organization's technology stack.
Experts: Expertise in areas such as web development, mobile app development, database management, cloud computing, and software architecture.
Leadership Experience: Experience leading and managing a team of developers, providing technical guidance and support, setting project goals, and ensuring timely delivery of software products.
Communication and Collaboration: Effectively interact with team members, stakeholders, and other departments within the organization. They should be able to articulate technical concepts to non-technical personnel and promote effective collaboration among team members.
Problem-Solving and Decision-Making: A strong analytical mindset and the ability to identify and resolve complex technical issues. They should be skilled in making informed decisions, prioritizing tasks, and allocating resources efficiently.
Project Management: Experience in project management - responsible for overseeing the development process, managing budgets and timelines, and ensuring projects are delivered successfully.","2nd Floor Advent Business Center, Acasia St., Kamputhaw, Cebu City, Cebu",11-50 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/431718/cebu/software-developer-head?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 432633,Social Media Specialist (Organic and Paid),N/A,2 to 4 Years,RipeConcepts Inc.,"Utilize both paid and organic social media tactics to maximize reach, engagement, and lead generation.
Develop and execute B2B social media strategies across various platforms, including LinkedIn, Twitter, Instagram and Facebook.
Create and curate engaging content that resonates with B2B target audiences and aligns with clients' objectives.
Manage social media accounts, including content scheduling, community management, and responding to inquiries.
Monitor social media trends, industry news, and competitor activities to identify opportunities for improvement and innovation.
Collaborate with cross-functional teams, such as marketing and design, to ensure consistent brand messaging and visual identity.
Analyze social media data and metrics to measure campaign performance, track KPIs, and provide actionable insights.
Stay up-to-date with emerging social media platforms and tools, recommending adoption when appropriate.
Provide regular reports and presentations on social media performance and campaign effectiveness.
Proven experience as a B2B Social Media Specialist or similar role, with a successful track record in managing both paid and organic social media campaigns.
In-depth knowledge of B2B industries, target audiences, and social media platforms, particularly LinkedIn, Twitter, and Facebook.
Proficiency in social media management and analytics tools, such as Hootsuite, Buffer, Sprout Social, or similar platforms.
Strong understanding of social media advertising, including audience targeting, ad formats, and campaign optimization.
Excellent content creation and copywriting skills, with the ability to adapt writing style to different social media platforms.
Strong analytical skills to interpret data, identify trends, and make data-driven decisions for campaign optimization.
Creativity and the ability to think strategically, generating innovative ideas for engaging B2B social media campaigns.
Healthcare experience a plus
Excellent communication and collaboration skills to work effectively with cross-functional teams.
Bachelor's degree in marketing, communications, or a related field (preferred).","8/F Ayala Center Cebu Tower (across Ayala PUV Terminal) Bohol Avenue, Cebu Business Park, Luz, Cebu City, Cebu",201-500 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/432633/cebu/social-media-specialist-organic-and-paid?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 432635,SEO Backlink Specialist,N/A,2 to 4 Years,RipeConcepts Inc.,"Conduct comprehensive research to identify authoritative websites within the B2B healthcare sector for potential backlink opportunities.
Develop and implement a targeted backlink strategy, tailored specifically to the healthcare industry, to acquire high-quality backlinks.
Outreach to healthcare influencers, websites, and publications to secure backlinks through guest posting, content collaboration, and other effective link-building techniques.
Collaborate with content creators and marketers to develop valuable and engaging healthcare-related content that attracts backlinks.
Monitor and analyze backlink profiles using SEO tools to ensure quality and identify any potential issues.
Stay up to date with the latest industry trends, search engine algorithm changes, and link-building best practices in the healthcare sector.
Provide recommendations to optimize on-page content and website structure to maximize the value of acquired backlinks.
Track and report key metrics, including backlink acquisition, referral traffic, and search engine rankings.
Proven experience as a B2B Backlink Expert, with a focus on acquiring high-quality backlinks in the healthcare industry.
In-depth knowledge of the B2B healthcare sector, including key players, industry publications, and authoritative websites.
Excellent communication and outreach skills to build relationships and secure backlinks through effective persuasion.
Strong analytical skills to monitor backlink performance, identify patterns, and make data-driven recommendations.
Understanding of on-page SEO and website optimization techniques to enhance backlink value.
Knowledge of search engine algorithms and their impact on backlink strategies.
Bachelor's degree in marketing, communications, or a related field (preferred).","8/F Ayala Center Cebu Tower (across Ayala PUV Terminal) Bohol Avenue, Cebu Business Park, Luz, Cebu City, Cebu",201-500 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/432635/cebu/seo-backlink-specialist?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 432997,In-Country Marketing Manager,N/A,Managerial / Supervisory,RipeConcepts Inc.,"Responsible for daily management of team, including executing roadmap to hit metrics agreed to
Would review all published content prior to sending stateside for final review (by me)
Backfill when short staffed
Would coordinate with U.S. marketing peer, as well as business development and sales manager for various marketing deliverables. The idea here is they are the main conduit.
Bachelor’s Degree in Marketing, Business, or related field or equivalent experience
In-depth knowledge of B2B industries
Experience in a management/supervisory position in Digital Marketing
Strong leadership/mentoring skills and can provide critical thinking and feedback in a way that people can receive it
In-depth knowledge of major digital marketing platforms (Google Ads, Facebook, LinkedIn, etc) and their advertising features, targeting options, and analytics tools
PPC (Pay-per-click) / SEM (Search engine marketing): experience with full campaign management from strategy, execution, budgeting management, optimization, and reporting
Paid social media: understanding of main social advertising channels as well as opportunities and activities to achieve goals
Organic social media: ideation, creation, and planning of organic social media calendar to foster community and increase brand awareness
SEO (Search engine optimization): use tools to define opportunities and provide direction and support execution to increase rankings
Solid knowledge of Analytic Tools, Google Adwords campaigns
Experience in healthcare industry is a plus
May need to be more aligned to U.S. hours (at least initially) and available for team calls, would represent team on L10s, etc.","8/F Ayala Center Cebu Tower (across Ayala PUV Terminal) Bohol Avenue, Cebu Business Park, Luz, Cebu City, Cebu",201-500 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/432997/cebu/in-country-marketing-manager?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 432998,Digital Marketing Analyst,N/A,5+ Years,RipeConcepts Inc.,"Monitor online marketing trends, analyze statistics, develop strategies for digital marketing campaigns, and track campaign performance.
Prepare campaign results, create data visualizations, and present insights and findings to colleagues and clients.
Bachelor's degree holder in Information Technology, Marketing, or related courses
Background in digital marketing/SEO/PPC a plus
Experience in lead generation / data mining / web harvesting is a great plus
Willingness to be trained and possess the ability to learn
Ability to keep a positive attitude and beat deadlines
Excellent English communication skills
Highly analytical
Amenable to work 5AM - 2PM (Tues - Sat)","8/F Ayala Center Cebu Tower (across Ayala PUV Terminal) Bohol Avenue, Cebu Business Park, Luz, Cebu City, Cebu",201-500 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/432998/cebu/digital-marketing-analyst?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 433057,Sr. Mobile QA Automation,N/A,5+ Years,RipeConcepts Inc.,"Perform manual functional and Integration testing for features of the sprint
Convert features in the sprint to Automation tests using the current test automation framework for CI/CD
Develop detailed test cases to be shared across teams/business
Good understanding of the overall business flows and architecture for the product working on
Good understanding of testing concepts and ability to implement them when need arises
Focus towards getting the automation test coverage to a good, accepted standard
5+ years hands-on experience test automation
At least 1 year mobile automation testing experience
5+ years of experience in at least one software programming language (Swift, Java, Python etc.)
Understanding of test automation frameworks (Junit/TestNG)
Experience with XCUI or Espresso
Proficient in debugging and reviewing software application code
Ability to create clear and concise technical documentation
Strong good problem-solving and communication skills and experience working closely with developers
Proficient in Git and Bitbucket
Nice to have :
Knowledge of relational and/or NoSQL databases 
Experience in network stubbing using WireMocks or similar technology
Knowledge of relational and/or NoSQL databases
Experience in network stubbing using WireMocks or similar technology
Open for Remote work Set-up","8/F Ayala Center Cebu Tower (across Ayala PUV Terminal) Bohol Avenue, Cebu Business Park, Luz, Cebu City, Cebu",201-500 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/433057/cebu/sr-mobile-qa-automation?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 432766,Junior Digital Content Specialist,N/A,1 Year or Less,Datawords 24/7,"Localize and edit digital assets such as PSDs and banners
Import and format copy and graphics into design templates
Position artwork and text on the proper page layout
Finalize formatted documents for printing or electronic publication
Create HTML designs based on provided PSDs and requirements using HTML/CSS
Manage and produce digital design work with a focus on mobile responsiveness
Provide design support to other business lines for product graphics, marketing campaigns, or similar offline graphics
Fresh graduate of Information Technology or a related field
Excellent proficiency in Adobe Photoshop
Strong layout and designing skills
Basic knowledge of Adobe Illustrator and Adobe InDesign
Familiarity with HTML and CSS foundations
Basic knowledge of Adobe Animate is a plus
Understanding of digital marketing concepts (newsletter, web banners) is a plus
Basic knowledge of Microsoft Office Suites (Word, Excel) and Google Suites (Sheets, Slides, Docs)
Strong consistency and attention to detail
Good oral and written communication skills
Strong time management skills, with the ability to prioritize and meet deadlines
Strong work ethic and personal accountability
Ability to function in a global team environment
Open to a multicultural work environment
Experience in web marketing/web design with a strong knowledge of HTML, Photoshop, FTP, and web design principles
Proven web designing experience (portfolio)
Ability to manage projects and team members
Advanced knowledge of Adobe Photoshop, Adobe Illustrator, and Adobe InDesign
Basic knowledge of Adobe Premiere, Adobe After Effects, and Adobe Animate
Shifting schedule: 10:00AM to 07:00PM / 2:30PM to 11:30PM
Hybrid Setup
Competitive Salary
Shift incentive
Hybrid Allowance
Health Insurance Policy with Dental, Optical and ComPsych coverage
Learning opportunities
Local and International training/business trip opportunities
Vacation leave, Sick Leave, Offered Leave, Marriage Leave, Birthday Leave
Weekly office snacks
Annual Sports fest
Annual Team building/Summer outing
Fun Halloween and Year-End parties
Virtual and Onsite Health and Wellness Programs
Onsite Gaming Areas/Lounges
Employee Assistance Program
Fun and Unique Datawords Culture!","10th Floor, FLB Corporate Center, Cebu Business Park, Kamputhaw, Cebu City, Cebu",51-200 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/432766/cebu/junior-digital-content-specialist?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 433538,Manual QA Engineer,N/A,2 to 4 Years,RipeConcepts Inc.,"Taking part in QA processes, reading and analysis of requirements, writing and implementation of test plans/cases,
  testing of websites/web applications
Ensuring the overall quality of the sites delivered, functional and non-functional testing
Data collection, working closely with developers and designers
Bachelor's Degree holder in Computer Science, Information Technology, Computer Engineering or related courses
At least 3 years’ experience in web QA testing with BrowserStack and Lambda Test
Experience working with Asana
Experience working with Screaming frog
Good knowledge of web development standards and testing tools
Attentive to details, keen and meticulous
Tech savvy with an eagerness to learn and grow
Must be adaptable, flexible and possess a sense of urgency
Ability to work independently as well as with a team
Good command of the English language (spoken and written)
Amenable to work 10:00 AM – 7:00 PM, Mondays to Fridays","8/F Ayala Center Cebu Tower (across Ayala PUV Terminal) Bohol Avenue, Cebu Business Park, Luz, Cebu City, Cebu",201-500 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/433538/cebu/manual-qa-engineer?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
Job ID: 426509,Account Manager | With Hiring Bonus!,"PHP 23,000 - 30,000 per month",1 Year or Less,"Medspecialized, Inc.",,"8th floor Skyrise 4B Building, IT Park, Lahug, Cebu City, Cebu",501-1000 employees,"Posted On: July 27, 2023",https://www.mynimo.com/jobs/view/426509/cebu/account-manager--with-hiring-bonus?location=cebu&is_overseas=false&category=IT%20%2F%20Computers&category_name=it&level&tab=cebu
